SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
1,22.01.20,Anhui,Mainland China,22.01.20 17:00,1,0,0
2,22.01.20,Beijing,Mainland China,22.01.20 17:00,14,0,0
3,22.01.20,Chongqing,Mainland China,22.01.20 17:00,6,0,0
4,22.01.20,Fujian,Mainland China,22.01.20 17:00,1,0,0
5,22.01.20,Gansu,Mainland China,22.01.20 17:00,0,0,0
6,22.01.20,Guangdong,Mainland China,22.01.20 17:00,26,0,0
7,22.01.20,Guangxi,Mainland China,22.01.20 17:00,2,0,0
8,22.01.20,Guizhou,Mainland China,22.01.20 17:00,1,0,0
9,22.01.20,Hainan,Mainland China,22.01.20 17:00,4,0,0
10,22.01.20,Hebei,Mainland China,22.01.20 17:00,1,0,0
11,22.01.20,Heilongjiang,Mainland China,22.01.20 17:00,0,0,0
12,22.01.20,Henan,Mainland China,22.01.20 17:00,5,0,0
13,22.01.20,Hong Kong,Hong Kong,22.01.20 17:00,0,0,0
14,22.01.20,Hubei,Mainland China,22.01.20 17:00,444,17,28
15,22.01.20,Hunan,Mainland China,22.01.20 17:00,4,0,0
16,22.01.20,Inner Mongolia,Mainland China,22.01.20 17:00,0,0,0
17,22.01.20,Jiangsu,Mainland China,22.01.20 17:00,1,0,0
18,22.01.20,Jiangxi,Mainland China,22.01.20 17:00,2,0,0
19,22.01.20,Jilin,Mainland China,22.01.20 17:00,0,0,0
20,22.01.20,Liaoning,Mainland China,22.01.20 17:00,2,0,0
21,22.01.20,Macau,Macau,22.01.20 17:00,1,0,0
22,22.01.20,Ningxia,Mainland China,22.01.20 17:00,1,0,0
23,22.01.20,Qinghai,Mainland China,22.01.20 17:00,0,0,0
24,22.01.20,Shaanxi,Mainland China,22.01.20 17:00,0,0,0
25,22.01.20,Shandong,Mainland China,22.01.20 17:00,2,0,0
26,22.01.20,Shanghai,Mainland China,22.01.20 17:00,9,0,0
27,22.01.20,Shanxi,Mainland China,22.01.20 17:00,1,0,0
28,22.01.20,Sichuan,Mainland China,22.01.20 17:00,5,0,0
29,22.01.20,Taiwan,Taiwan,22.01.20 17:00,1,0,0
30,22.01.20,Tianjin,Mainland China,22.01.20 17:00,4,0,0
31,22.01.20,Tibet,Mainland China,22.01.20 17:00,0,0,0
32,22.01.20,Washington,US,22.01.20 17:00,1,0,0
33,22.01.20,Xinjiang,Mainland China,22.01.20 17:00,0,0,0
34,22.01.20,Yunnan,Mainland China,22.01.20 17:00,1,0,0
35,22.01.20,Zhejiang,Mainland China,22.01.20 17:00,10,0,0
36,22.01.20,,Japan,22.01.20 17:00,2,0,0
37,22.01.20,,Thailand,22.01.20 17:00,4,0,2
38,22.01.20,,South Korea,22.01.20 17:00,1,0,0
39,22.01.20,Unknown,China,22.01.20 17:00,0,0,0
40,22.01.20,,Kiribati,22.01.20 17:00,0,0,0
41,23.01.20,Anhui,Mainland China,23.01.20 17:00,9,0,0
42,23.01.20,Beijing,Mainland China,23.01.20 17:00,22,0,0
43,23.01.20,Chongqing,Mainland China,23.01.20 17:00,9,0,0
44,23.01.20,Fujian,Mainland China,23.01.20 17:00,5,0,0
45,23.01.20,Gansu,Mainland China,23.01.20 17:00,2,0,0
46,23.01.20,Guangdong,Mainland China,23.01.20 17:00,32,0,2
47,23.01.20,Guangxi,Mainland China,23.01.20 17:00,5,0,0
48,23.01.20,Guizhou,Mainland China,23.01.20 17:00,3,0,0
49,23.01.20,Hainan,Mainland China,23.01.20 17:00,5,0,0
50,23.01.20,Hubei,Mainland China,23.01.20 17:00,444,17,28
51,23.01.20,Heilongjiang,Mainland China,23.01.20 17:00,2,0,0
52,23.01.20,Henan,Mainland China,23.01.20 17:00,5,0,0
53,23.01.20,Hong Kong,Hong Kong,23.01.20 17:00,2,0,0
54,23.01.20,Hubei,Mainland China,23.01.20 17:00,444,17,28
55,23.01.20,Hunan,Mainland China,23.01.20 17:00,9,0,0
56,23.01.20,Inner Mongolia,Mainland China,23.01.20 17:00,0,0,0
57,23.01.20,Jiangsu,Mainland China,23.01.20 17:00,5,0,0
58,23.01.20,Jiangxi,Mainland China,23.01.20 17:00,7,0,0
59,23.01.20,Jilin,Mainland China,23.01.20 17:00,1,0,0
60,23.01.20,Liaoning,Mainland China,23.01.20 17:00,3,0,0
61,23.01.20,Macau,Macau,23.01.20 17:00,2,0,0
62,23.01.20,Ningxia,Mainland China,23.01.20 17:00,1,0,0
63,23.01.20,Qinghai,Mainland China,23.01.20 17:00,0,0,0
64,23.01.20,Shaanxi,Mainland China,23.01.20 17:00,3,0,0
65,23.01.20,Shandong,Mainland China,23.01.20 17:00,6,0,0
66,23.01.20,Shanghai,Mainland China,23.01.20 17:00,16,0,0
67,23.01.20,Shanxi,Mainland China,23.01.20 17:00,1,0,0
68,23.01.20,Sichuan,Mainland China,23.01.20 17:00,8,0,0
69,23.01.20,Taiwan,Taiwan,23.01.20 17:00,1,0,0
70,23.01.20,Tianjin,Mainland China,23.01.20 17:00,4,0,0
71,23.01.20,Tibet,Mainland China,23.01.20 17:00,0,0,0
72,23.01.20,Washington,US,23.01.20 17:00,1,0,0
73,23.01.20,Xinjiang,Mainland China,23.01.20 17:00,2,0,0
74,23.01.20,Yunnan,Mainland China,23.01.20 17:00,2,0,0
75,23.01.20,Zhejiang,Mainland China,23.01.20 17:00,27,0,0
76,23.01.20,,Japan,23.01.20 17:00,1,0,0
77,23.01.20,,Thailand,23.01.20 17:00,4,0,2
